url,transaction_type
https://immovlan.be/en/detail/residence/for-sale/3945/ham/rbu66615,house
https://immovlan.be/en/detail/residence/for-sale/4280/hannut/vbd49766,house
https://immovlan.be/en/detail/mixed-building/for-sale/6200/chatelet/vbd49760,house
https://immovlan.be/en/detail/residence/for-sale/7060/soignies/vbd49758,house
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbd49757,house
https://immovlan.be/en/detail/residence/for-sale/1570/galmaarden/rbu66612,house
https://immovlan.be/en/detail/residence/for-sale/4680/oupeye/vbd49751,house
https://immovlan.be/en/detail/mixed-building/for-sale/4101/jemeppe/vbd49749,house
https://immovlan.be/en/detail/residence/for-sale/9190/stekene/rbu66604,house
https://immovlan.be/en/detail/residence/for-sale/1470/genappe/vbd49745,house
https://immovlan.be/en/detail/residence/for-sale/9180/moerbeke-waas/rbu66603,house
https://immovlan.be/en/detail/residence/for-sale/7011/ghlin/vbd49736,house
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbd49734,house
https://immovlan.be/en/detail/residence/for-sale/5651/berzee/rbu66602,house
https://immovlan.be/en/detail/residence/for-sale/7322/pommeroeul/vbd49731,house
https://immovlan.be/en/detail/residence/for-sale/7387/angre/vbd49730,house
https://immovlan.be/en/detail/mixed-building/for-sale/7700/mouscron/vbd49728,house
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd49727,house
https://immovlan.be/en/detail/residence/for-sale/4140/sprimont/vbd49726,house
https://immovlan.be/en/detail/villa/for-sale/4432/alleur/vbd49725,house
https://immovlan.be/en/detail/residence/for-sale/3900/pelt/rbu66600,house
https://immovlan.be/en/detail/residence/for-sale/1200/sint-lambrechts-woluwe/vwd15595,house
https://immovlan.be/en/detail/residence/for-sale/2930/brasschaat/rbu66597,house
https://immovlan.be/en/detail/residence/for-sale/6200/chatelet/vbd49724,house
https://immovlan.be/en/detail/villa/for-sale/8670/koksijde/rbu66584,house
https://immovlan.be/en/detail/residence/for-sale/7090/braine-le-comte/vbd49720,house
https://immovlan.be/en/detail/residence/for-sale/1190/vorst/vwd15594,house
https://immovlan.be/en/detail/villa/for-sale/1933/sterrebeek/rbu66582,house
https://immovlan.be/en/detail/residence/for-sale/6760/ethe/vbd49716,house
https://immovlan.be/en/detail/villa/for-sale/1330/rixensart/vbd49712,house
https://immovlan.be/en/detail/residence/for-sale/1790/affligem/rbu66554,house
https://immovlan.be/en/detail/residence/for-sale/1790/affligem/rbu66550,house
https://immovlan.be/en/detail/villa/for-sale/1820/steenokkerzeel/rbu66525,house
https://immovlan.be/en/detail/residence/for-sale/2850/boom/rbu66510,house
https://immovlan.be/en/detail/residence/for-sale/1930/nossegem/rbu66470,house
https://immovlan.be/en/detail/residence/for-sale/1370/jodoigne/vbd49702,house
